	thiago			erick			lucia_vinicius
1-1	attribution_overlap	overlap			overlap
1-2	elaboration		follow-up		follow-up
1-6	elaboration		no-relation		no-relation
1-13	no-relation		no-relation		no-relation
6-5	no-relation		no-relation		no-relation
6-6	no-relation		no-relation		no-relation
6-7	no-relation		no-relation		no-relation
6-9	no-relation		no-relation		no-relation
6-10	no-relation		no-relation		elaboration
7-4	elaboration		elaboration		elaboration
8-7	no-relation		no-relation		no-relation
8-9	no-relation		no-relation		no-relation
10-2	historical-background	historical-background	historical-background
10-7	no-relation		historical-background	no-relation
10-13	no-relation		historical-background	historical-background
11-2	overlap			overlap			overlap
11-7	no-relation		no-relation		no-relation
11-9	no-relation		no-relation		no-relation
