RIO - Foi um domingo especial e inesquecível para o esporte brasileiro. <D4_C25_JB; p1-s1>
As seleções de vôlei e futebol conquistaram a Liga Mundial e a Copa América e escreveram mais uma vez o nome do Brasil nos respectivos esportes. <D4_C25_JB; p1-s3>
É verdade que a seleção de Bernardinho deu um susto na torcida, ao perder o primeiro set por 25 a 18. <D4_C25_JB; p2-s2>
Com parciais de 25/23, 28/26 e 25/22 o Brasil arrasou a seleção Russa e manteve a hegemonia no vôlei mundial. <D4_C25_JB; p2-s4>
Com uma atuação impecável, o time de Dunga goleou a Argentina por 3 a 0 e fez os hermanos amargarem o terceiro vice-campeonato seguido, frente à seleção pentacampeã. <D4_C25_JB; p4-s2>
O Brasil é a melhor seleção das américas pela oitava vez. <D5_C25_GPovo; p3-s2>
E sem as duas principais estrelas do futebol brasileiro atualmente. <D1_C25_Folha; p4-s2>
Os argentinos, com um time repleto de craques, favoritos ao título e com uma campanha irrepreensível até o momento, pareciam não acreditar no que viam. <D4_C25_JB; p7-s1>
Logo aos 4min, um lançamento longo de Elano achou Júlio Baptista, que dominou e chutou cruzado: 1 a 0 Brasil. <D1_C25_Folha; p9-s1>
Em desvantagem no placar, os argentinos ficaram com a bola e pressionaram. <D1_C25_Folha; p9-s2>
Ao Brasil restavam os contragolpes. <D1_C25_Folha; p10-s1>
E assim chegou ao segundo gol. <D1_C25_Folha; p10-s2>
No segundo tempo, a pressão argentina aumentou. <D1_C25_Folha; p11-s1>
Foi assim que o Brasil matou o jogo. <D1_C25_Folha; p13-s1>
Vagner Love fez lindo passe para Daniel Alves, que chutou forte e cruzado no fundo das redes de Abbodanzieri. <D5_C25_GPovo; p9-s4>
