	thiago				erick			lucia
1-1	elaboration			overlap			overlap
1-2	overlap				overlap			overlap
4-2	indirect-speech_subsumption	indirect-speech_overlap	attribution
4-3	elaboration			elaboration		indirect-speech_subsumption
8-1	follow-up			overlap			elaboration
10-2	follow-up			follow-up		elaboration
10-6	no-relation			no-relation		no-relation
15-1	subsumption			subsumption		overlap
17-1	overlap				elaboration		elaboration
17-7	overlap				no-relation		overlap
18-7	follow-up			elaboration		elaboration
