Verbo(nselect:0) 	 	 {have, have got, hold}(nselect:3)
{have, have got, hold}(nselect:3) 	 	 {sustain, keep, maintain}(nselect:0)
{have, have got, hold}(nselect:3) 	 	 {keep, hold on}(nselect:0)
{have, have got, hold}(nselect:3) 	 	 {keep}(nselect:0)
{have, have got, hold}(nselect:3) 	 	 {keep, maintain}(nselect:0)
{have, have got, hold}(nselect:3) 	 	 {keep}(nselect:0)
{have, have got, hold}(nselect:3) 	 	 {monopolize, monopolise}(nselect:0)
{have, have got, hold}(nselect:3) 	 	 {wield, exert, maintain}(nselect:0)
{have, have got, hold}(nselect:3) 	 	 {stock, carry, stockpile}(nselect:0)
{have, have got, hold}(nselect:3) 	 	 {bear, hold}(nselect:0)
{have, have got, hold}(nselect:3) 	 	 {carry}(nselect:0)
Verbo(nselect:0) 	 	 {use, utilize, utilise, apply, employ}(nselect:1)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {give, dedicate, consecrate, commit, devote}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {play}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {play}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {pull out all the stops}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {put, assign}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {ply}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {address}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {waste}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {misapply, misuse}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {avail}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {overuse, overdrive}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {cannibalize, cannibalise}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {recycle, reprocess, reuse}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {exploit, work}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {exploit, tap}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {strain, extend}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {exert, exercise}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {enjoy}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {take}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {share}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {work, put to work}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {implement}(nselect:0)
{use, utilize, utilise, apply, employ}(nselect:1) 	 	 {fall back, resort, recur}(nselect:0)
Verbo(nselect:0) 	 	 {make, create}(nselect:0)
{make, create}(nselect:0) 	 	 {create by mental act, create mentally}(nselect:0)
{create by mental act, create mentally}(nselect:0) 	 	 {gestate, conceive, conceptualize, conceptualise}(nselect:0)
{gestate, conceive, conceptualize, conceptualise}(nselect:0) 	 	 {design}(nselect:0)
{gestate, conceive, conceptualize, conceptualise}(nselect:0) 	 	 {preconceive}(nselect:0)
{gestate, conceive, conceptualize, conceptualise}(nselect:0) 	 	 {discover, find}(nselect:1)
{make, create}(nselect:0) 	 	 {beget, get, engender, father, mother, sire, generate, bring forth}(nselect:0)
{make, create}(nselect:0) 	 	 {reproduce, procreate, multiply}(nselect:0)
{make, create}(nselect:0) 	 	 {regenerate}(nselect:0)
{make, create}(nselect:0) 	 	 {clear}(nselect:0)
{make, create}(nselect:0) 	 	 {distill, extract, distil}(nselect:0)
{make, create}(nselect:0) 	 	 {derive, educe}(nselect:0)
{make, create}(nselect:0) 	 	 {froth, spume, suds}(nselect:0)
{make, create}(nselect:0) 	 	 {lay down, establish, make}(nselect:0)
{make, create}(nselect:0) 	 	 {puncture}(nselect:0)
{make, create}(nselect:0) 	 	 {twine}(nselect:0)
{make, create}(nselect:0) 	 	 {cleave}(nselect:0)
{make, create}(nselect:0) 	 	 {track}(nselect:0)
{make, create}(nselect:0) 	 	 {institute, bring}(nselect:0)
{make, create}(nselect:0) 	 	 {short-circuit, short}(nselect:0)
{make, create}(nselect:0) 	 	 {re-create}(nselect:0)
{make, create}(nselect:0) 	 	 {grind}(nselect:0)
{make, create}(nselect:0) 	 	 {generate, bring forth}(nselect:0)
{make, create}(nselect:0) 	 	 {give, yield}(nselect:0)
{make, create}(nselect:0) 	 	 {bring, work, play, wreak, make for}(nselect:0)
{make, create}(nselect:0) 	 	 {raise, conjure, conjure up, invoke, evoke, stir, call down, arouse, bring up, put forward, call forth}(nselect:0)
{make, create}(nselect:0) 	 	 {create, make}(nselect:0)
{make, create}(nselect:0) 	 	 {realize, realise, actualize, actualise, substantiate}(nselect:0)
{make, create}(nselect:0) 	 	 {cause, do, make}(nselect:0)
{make, create}(nselect:0) 	 	 {establish, give}(nselect:0)
{make, create}(nselect:0) 	 	 {put on, turn in}(nselect:0)
{make, create}(nselect:0) 	 	 {bear, turn out}(nselect:0)
{make, create}(nselect:0) 	 	 {create from raw material, create from raw stuff}(nselect:0)
{make, create}(nselect:0) 	 	 {construct, build, make}(nselect:0)
{make, create}(nselect:0) 	 	 {build, establish}(nselect:0)
{make, create}(nselect:0) 	 	 {assemble, piece, put together, set up, tack, tack together}(nselect:0)
{make, create}(nselect:0) 	 	 {style}(nselect:0)
{make, create}(nselect:0) 	 	 {strike}(nselect:0)
{make, create}(nselect:0) 	 	 {copy, re-create}(nselect:0)
{make, create}(nselect:0) 	 	 {create verbally}(nselect:0)
{make, create}(nselect:0) 	 	 {compose, write}(nselect:0)
{make, create}(nselect:0) 	 	 {choreograph}(nselect:0)
{make, create}(nselect:0) 	 	 {direct}(nselect:0)
{make, create}(nselect:0) 	 	 {film}(nselect:0)
{make, create}(nselect:0) 	 	 {film-make}(nselect:0)
{make, create}(nselect:0) 	 	 {recreate}(nselect:0)
{make, create}(nselect:0) 	 	 {offset}(nselect:0)
{make, create}(nselect:0) 	 	 {scrape}(nselect:0)
{make, create}(nselect:0) 	 	 {produce, bring forth}(nselect:0)
{make, create}(nselect:0) 	 	 {produce, bring about, give rise}(nselect:0)
{make, create}(nselect:0) 	 	 {press}(nselect:0)
