	thiago			erick			lucia
1-1	follow-up		follow-up		overlap
2-5	no-relation		follow-up		no-relation
3-14	follow-up		follow-up		no-relation
4-5	equivalence		subsumption		equivalence
4-6	follow-up		follow-up		follow-up
4-11	no-relation		no-relation		no-relation
5-2	elaboration		overlap			elaboration
7-5	follow-up		follow-up		follow-up
8-16	overlap			overlap			subsumption
11-3	subsumption		overlap			subsumption
16-6	follow-up		follow-up		follow-up
16-11	follow-up		elaboration		elaboration
17-18	no-relation		overlap			overlap
