	thiago			erick_vinicius
1-1	overlap			overlap
1-9	follow-up		follow-up
2-2	overlap			overlap
2-3	follow-up		follow-up
2-4	subsumption		subsumption
4-8	subsumption		subsumption
6-5	follow-up		follow-up
6-6	attribution_overlap	attribution_overlap
9-3	subsumption		subsumption
9-7	elaboration		follow-up
10-5	no-relation		no-relation
10-9	elaboration		elaboration
11-9	subsumption		subsumption
12-11	equivalence		equivalence
13-2	no-relation		no-relation
13-7	no-relation		follow-up
15-1	elaboration		elaboration
15-5	no-relation		elaboration
